Altitude,Precipitation,Average Temperature,pH,TN,SOC,Large-leaved variety,Medium-leaved variety,small-leaved variety,mineral fertilizer,organic fertilizer,controlled-released fertilizer,mix fertilizer,N quantity,P2O5 quantity,K2O quantity,organic fertilizer.1,Predicted_Yield,N_quantity
1089.4849212780257,1269.8164250915584,15.504958761413281,4.581606088422668,0.9740502348904396,2.4568708035362183,0.0,1.0,0.0,0.0,0.0,1.0,0.0,31.797873323881923,4.947770681896613,12.359531391615075,7.625023961440953e-05,971.344303294001,31.797873323881923
1090.3370841710525,1276.8337139406387,15.547953129188183,4.584483064484529,0.9735158341495308,2.4569416312601735,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.76532536512287e-09,4.107807617976304,12.31092661841562,0.0003371203639888227,724.7697795308444,3.76532536512287e-09
991.6266822072125,1278.3872641589962,22.80147440061366,4.509846647020848,0.6486710126552784,2.417737581636819,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0798390006002456e-08,32.2142655764417,12.42190837460916,0.0003514833990320797,757.1262111652584,1.0798390006002456e-08
959.4767116623,1270.3061037812197,23.337993982751026,4.587993258480293,0.6289900739364302,2.4429161662030654,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.623495228436978,32.958923573028294,12.31709821779332,0.0003045750054043491,757.9195589244425,11.623495228436978
958.8879511816226,1278.766640312042,23.337993982751026,4.586345282536313,0.6301121100869584,2.4028710884595506,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.699576720371951,26.739701160212007,12.421074566619373,0.0002926138247113867,770.1551660115263,11.699576720371951
1095.003707359567,1266.339401707591,15.539175493272209,4.713420232932301,0.9684706419244088,2.4009416597525286,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.64399131575184,5.329796672387734,12.351084968277437,8.637424943063188e-05,911.0453063673284,18.64399131575184
1089.4849212780257,1269.7330460892024,15.504958761413281,4.58355249881108,0.9740502348904396,2.458081716337079,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.6272864270882,4.947770681896613,12.334774687633738,0.00022684021591761977,858.0722035555332,18.6272864270882
1095.5706592998788,1266.8952057480953,15.53303258067951,4.582053178979899,0.9733120670444363,2.4507142103056494,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.668123066109537,5.106916798484779,12.327188869994247,9.218859080988649e-05,953.8770121022905,26.668123066109537
1098.6589373009235,1266.9957485248005,15.53507016757006,4.584460492357445,0.9735494201218723,2.457555263039883,0.0,1.0,0.0,0.0,0.0,1.0,0.0,20.985563599669224,5.474930598373317,12.318436233277213,8.863912026623301e-05,953.0686287800573,20.985563599669224
1081.7728606007765,1276.2343392967725,15.5380728965371,4.580796725991637,0.9889636803609618,2.451410156120159,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.41091425541485,10.46810352413896,12.282875212508104,7.253034590289275e-05,809.5069700965205,15.41091425541485
1080.9973938853782,1276.2343392967725,15.531621473776804,4.5848470898582026,0.9865649406507655,2.451533438687735,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.41091425541485,10.46810352413896,12.282796454483371,7.342466933682424e-05,809.5069700965205,15.41091425541485
1098.576634082742,1267.8478508026437,15.541499080318433,4.580556300368316,0.9866232504689135,2.4477750721018046,0.0,1.0,0.0,0.0,0.0,1.0,0.0,29.539937760539612,5.573026128400704,12.293264661215403,7.334924533863189e-05,968.972469950641,29.539937760539612
1097.4752033044554,1267.855796434335,15.541612446316872,4.580796725991637,0.9867071713295966,2.447513778540238,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.983071452677226,5.297557591150954,12.29352200006854,6.592957388842818e-05,815.8682001217986,15.983071452677226
1092.0104618198889,1276.7847405206783,15.454255366752642,4.662512115324467,0.9735256303323612,2.457601246591706,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.75708439605998,5.680744143441983,12.437237847633583,8.813952255859384e-05,960.3676283445783,28.75708439605998
1098.5991089782976,1276.4351983499498,15.535125497035079,4.584460492357445,0.9868744545026635,2.457557220623768,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.905225022798938,5.474930598373317,12.293233249769179,9.218859080988649e-05,956.346144401723,26.905225022798938
1089.4849212780257,1269.8164250915584,15.504958761413281,4.581606088422668,0.9741421592761816,2.4568708035362183,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.84478014556155,4.948611920085285,12.33360226207982,7.625023961440953e-05,939.1739452214391,18.84478014556155
1097.8731801829763,1266.192697264699,15.53506697079361,4.581452653292046,0.9733215831460906,2.4512401145621814,0.0,1.0,0.0,0.0,0.0,1.0,0.0,31.558039944200512,5.105389546910178,12.359397707364081,7.305442231577908e-05,970.0451835107414,31.558039944200512
1089.466044071603,1276.784246267165,15.504958761413281,4.620609555457636,0.972919272611037,2.4579772144344574,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.603882500895097,4.94182730300382,12.334774687633738,0.0003362386708176287,831.1325635871815,16.603882500895097
1098.614985541786,1276.2559870654757,15.535131562010978,4.584460492357445,0.9733152518607083,2.457555283225959,0.0,1.0,0.0,0.0,0.0,1.0,0.0,20.690684976858268,5.474930598373317,12.311596155896092,9.218859080988649e-05,944.822679010048,20.690684976858268
1094.9770295982955,1268.6465922476318,15.53917714528604,4.580924062402394,0.9686139818791418,2.4051388671750322,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.359877786375648,5.293483161815402,12.295108452734585,0.00022541804270058782,829.2003191560617,16.359877786375648
1098.051051996461,1270.258051907098,15.5403854363937,4.66316626589644,0.9888809163074334,2.457588574308893,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.656171687275616,5.734027421928239,12.29426759476495,7.897410152213133e-05,937.2417007903193,18.656171687275616
1098.1643726224386,1277.1494832975889,15.55086920857566,4.583476857970396,0.9731522569481735,2.4581648089036636,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.650905855973235,4.824060857807137,12.347563051450429,8.222842418303363e-05,923.3880476595347,18.650905855973235
1098.1643726224386,1277.1494832975889,15.45530185675464,4.659464603272122,0.9731522569481735,2.4581648089036636,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.26530720131405,4.824060857807137,12.34501997663745,8.222842418303363e-05,843.8285628310601,18.26530720131405
1098.0867297970017,1266.2940076940558,15.5393509676851,4.708555834679182,0.9684706419244088,2.4009416597525286,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.645601616486413,4.562923243788537,12.351084968277437,8.589156766076949e-05,922.4020803165411,18.645601616486413
1103.5605681233942,1266.3030470383726,15.548410850246016,4.666250627568084,0.9776154990283471,2.4530498536811356,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.843925967960523,5.640913758383185,12.348512697716885,0.000368076853415823,835.3911697427769,17.843925967960523
1092.617397127031,1276.7847405206783,15.460706789512939,4.658487824914799,0.9735256303323612,2.457601246591706,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.75708439605998,5.680744143441983,12.437237847633583,8.724519912466235e-05,960.3676283445783,28.75708439605998
1088.237426073736,1271.0902719314736,15.546471569568343,4.673023042508136,0.9888580850083118,2.4422829629275458,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.480916474023168,8.095109671840069,12.297586136853427,0.0003601686603238002,852.5051673441782,18.480916474023168
990.8692170611708,1268.8912552301927,22.757475730800294,4.581625633323336,0.5271394869340649,2.394521845475159,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.666496255771992,32.969423133345856,12.261358717217576,0.0003046413260672658,765.667688677309,11.666496255771992
1088.5039982064948,1268.6465922476318,15.53917714528604,4.580924062402394,0.9683458554964844,2.45761856136198,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.48410240057071,5.293483161815402,12.295108452734585,0.00020566350966922647,856.6983667906467,18.48410240057071
1103.5605681233942,1266.7439373944221,15.548410850246016,4.664904238035616,0.9773884530347724,2.451408029315513,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.885116819050204,8.367905041256819,12.348204097217332,0.00036750488539363005,840.2974003636854,17.885116819050204
