参数名,参数值, ,指标,训练集,测试集
max_depth,20.0000,,R2,0.9771031075152062,0.7636006458319047
min_samples_leaf,1.0000,,RMSE,26.002004684633178,90.03214934646132
min_samples_split,2.0000,,EF,0.9771031075152062,0.7636006458319047
n_estimators,200.0000,,M (绝对偏差),17.729362670216204,53.906454300772694
,,,t-test统计量,0.37614049991106063,0.031112142017062163
,,,t-test p值,0.7070103807441406,0.9752415043665217
,,,MSE,676.1042476196858,8105.787915943516
,,,MAE,17.729362670216204,53.906454300772694
,,,交叉验证_R2,0.9717834856739789,0.7848202115051907
,,,交叉验证_RMSE,28.839503637536716,78.84524200247205
,,,交叉验证_EF,0.9717834856739789,0.7848202115051907
,,,交叉验证_R2_标准差,0.0014480865901316804,0.05383737200737445
,,,过拟合风险,是,
