参数名,参数值, ,指标,训练集,测试集
alpha,10.0000,,R2,0.0,-0.06070600020514827
max_iter,1000.0000,,RMSE,12.091231075490139,7.799062983644354
tol,0.0001,,EF,0.0,-0.06070600020514827
,,,M (绝对偏差),8.4884716796875,6.369140625
,,,t-test统计量,-8.745632613166574e-16,-0.9542483969476827
,,,t-test p值,0.9999999999999993,0.3550841389023536
,,,MSE,146.19786892089843,60.82538342285157
,,,MAE,8.4884716796875,6.369140625
,,,交叉验证_R2,0.0,-0.5161534290170986
,,,交叉验证_RMSE,11.953720504159648,11.460230099329706
,,,交叉验证_EF,0.0,-0.5161534290170986
,,,交叉验证_R2_标准差,0.0,0.497119910603008
,,,过拟合风险,是,
