longitude,latitude,Altitude(m),Precipitation(mm),Average Temperature (°„C),pH,TN(g/kg-1),AP (mg/kg-1),AK(mg/kg-1),SOC(%),Large-leaved variety,Medium-leaved variety,small-leaved variety,Years of planting,Replicates,mineral fertilizer,organic fertilizer,controlled-released fertilizer,mix fertilizer,N quantity(kg/y/hm2),P2O5 quantity(kg/y/hm2),K2O quantity(kg/y/hm2),organic fertilizer quantity(kg`y/hm2),Fresh Shoot Yield(kg/667m2)_MEAN
113.33,28.58,105,1330,17.5,6.3,1.13,NaN,NaN,1.32,1,0,0,3,3,1,0,0,0,450,0,0,0,277.6
100.33,22.13,1112,1400,18.9,5.52,0.95,NaN,114.63,1.2,1,0,0,9,3,0,0,0,0,0,0,0,0,119.78
103.63,30.35,486,1215,13.4,3.8,0.8,92.7,150.4,1.43,0,1,0,9,3,0,0,0,0,0,0,0,0,379.56
119.38,28.52,167,1650,17.7,3.6,2.83,261,200.52,3.83,0,1,0,7,3,1,0,0,0,450,180,270,0,106.61
106.79,22.34,135,1265.7,22.83,3.87,1.31,35.9,215.95,1.03,0,1,0,7,3,1,0,0,0,0,0,67.5,0,NaN
101.62,22.62,1363,1330,19.9,4.4,0.2,27.2,179.5,3.02,1,0,0,9,3,1,0,0,0,322,27.25,102.96,0,613.14
109.62,25.79,205,1884.6,17.42,6.8,1.13,NaN,NaN,1.32,0,1,0,5,4,1,0,0,0,67.5,67.5,67.5,0,174.4
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,0,0,0,1,37.5,4.88,4.35,711.6,NaN
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,1,0,0,0,586.5,192,150,0,533.49
100.34,22.18,1100,1341,18.5,4.11,2.39,1009.5,258.5,5.51,1,0,0,9,3,1,0,0,0,350,229.2,229.2,0,224.06
114.92,31.95,72,862.65,16.41,5.2,1.84,NaN,NaN,1.88,0,1,0,5,3,0,0,0,0,0,0,0,0,336
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,0,150,0,0,486.47
107.09,26.22,1100,1265.4,15.59,4.63,0.98,40.5,246,2.42,0,1,0,20,3,1,0,0,0,608.4,150,120,0,808.62
106.18,29.13,560,1034.9,17.9,3.81,0.68,62,181.9,0.16,0,1,0,10,4,1,0,0,0,225,0,0,0,408.67
118.3,29.653,178,1477,16.4,5.29,1.72,31.5,193.28,0.87,1,0,0,6,3,1,0,0,0,300,100.5,124.5,0,NaN
106.79,22.34,135,1265.7,22.83,3.87,1.31,35.9,215.95,1.03,0,1,0,7,3,1,0,0,0,101.25,0,40.5,0,NaN
119.58,27.22,111,1876.1,17.02,5.2,1.13,NaN,188.1,3.2,1,0,0,20,3,0,0,0,0,0,0,0,0,146.8
119.38,28.58,186,1648,18.11,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,155.34,51,81.6,0,125.79
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,450,150,0,0,710.73
119.38,28.58,186,1816.5,17.97,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,310.68,102,163.2,0,197.61
119.17,35.3,125,857.1,12.6,5.38,1.01,49.36,174.76,1.05,0,1,0,3,3,0,0,1,0,300,90,210,0,245.04
118.23,25.44,680,1574.63,18.49,4.4,1.22,14.4,196,2.15,1,0,0,7,3,0,0,0,1,189,120,75,3000,714.67
109.62,25.79,205,1884.6,17.42,6.8,1.13,NaN,NaN,1.32,0,1,0,5,4,1,0,0,0,195,634.5,195,0,180.9
120.067,30.22,95,1488.5,17.42,4.4,1.2,91.68,218.56,1.07,0,1,0,25,3,0,0,0,0,0,0,0,0,277.6
106.79,22.33,332,1509.8,17.27,3.87,1.31,35.9,215.95,1.03,0,1,0,5,3,1,0,0,0,0,67.5,0,0,183.3
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,150,150,75,0,652.13
119.45,31.28,152,1565.9,16.37,5.29,1.72,31.5,193.28,0.87,0,1,0,10,3,0,1,0,0,0,0,0,21000,135.03
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,1,0,0,0,0,80,100,0,148.32
119.38,28.58,186,1816.5,17.97,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,310.68,102,163.2,0,240.63
113.31,28.53,50,1330,17.5,6.1,1.13,NaN,NaN,1.32,1,0,0,3,3,1,0,0,0,225,0,0,0,71.79
116,28.37,39,1721.95,18.81,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,300,64.8,109.2,0,401.78
119.17,28.98,65,1839.8,18.24,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,1,0,0,0,428.94,82.63,126.14,0,NaN
118,25.01,224,1378.3,19.92,4.2,1.52,35.6,184,1.02,0,1,0,10,3,0,0,0,0,0,0,0,0,317.77
113.36,23.16,25,1956.1,22.61,5.2,1.13,NaN,188.1,1.05,0,1,0,17,3,0,0,0,0,0,0,0,0,128.58
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,0,0,0,1,420,112.5,225,525,279.14
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,0,1,0,0,0,0,0,19499,348.3
101.62,22.62,1363,1330,19.9,4.4,0.2,27.2,179.5,3.02,1,0,0,9,3,0,0,0,0,0,0,0,0,554.74
113.37,23.16,34,1475.7,22.8,5.12,1.21,40.4,121.57,1.34,0,1,0,3,3,1,0,0,0,375,75,375,0,351.18
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,0,0,75,0,409.87
113.36,23.16,25,1956.1,22.61,5.2,1.13,NaN,188.1,1.05,0,1,0,17,3,1,0,0,0,300,0,0,0,225
119.38,28.58,186,1648,18.11,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,155.34,51,81.6,0,87.79
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,450,0,150,0,638.73
116,28.37,39,1780.8,19.3,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,0,0,0,0,0,0,0,0,373.52
121.59,29.67,70,1697.8,17.9,4.1,1.67,24,180.1,4.56,0,1,0,6,3,0,0,0,0,0,0,0,0,80.26
120.08,30.02,0,1503,16.5,4.33,1.7,NaN,NaN,1.62,0,1,0,3,3,1,0,0,0,0,39.3,99.6,0,245.45
118,25.01,224,1378.3,19.92,4.2,1.52,35.6,184,1.02,0,1,0,10,3,1,0,0,0,300,105,136.5,0,407.23
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,150,0,75,0,568.6
107.09,26.22,1100,1265.4,15.59,4.63,0.98,40.5,246,2.42,0,1,0,20,3,0,0,0,0,0,0,0,0,674.36
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,0,0,0,1,675,7.32,6.53,4269.6,NaN
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,450,0,75,0,521.2
120.52,29.74,484,1466.2,17.83,3.66,2.72,29.9,189.15,2.35,0,1,0,10,3,1,0,0,0,700,700,700,0,557.33
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,450,150,150,0,452.4
119.17,35.3,125,861.1,16.6,5.41,1.12,48.7,258.3,1.25,0,1,0,3,3,0,0,0,1,149.99,44.99,105,1500,253.58
118,25.01,224,1378.3,19.92,4.2,1.52,35.6,184,1.02,0,1,0,10,3,1,0,0,0,0,105,105,0,352.23
116,28.37,39,1721.95,18.81,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,450,97.2,163.8,0,597.33
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,1,0,0,0,900,117.84,104.17,0,240.5
116.78,23.81,245,1475.9,21.4,4.31,1.14,47.3,201.42,1.98,0,1,0,3,3,1,0,0,0,558,169,175,0,240
106.79,22.33,332,1509.8,17.27,3.87,1.31,35.9,215.95,1.03,0,1,0,5,3,1,0,0,0,101.25,40.5,0,0,254.16
119.17,28.98,65,1602.3,18.26,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,1,0,0,0,298.8,90,135,0,NaN
119.17,28.98,80,1602.6,17.1,4.23,1.09,124,217.5,3.07,0,1,0,14,3,1,0,0,0,818.25,660.75,297,0,226.13
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,1,0,0,0,320,0,100,0,185.84
117.92,27.65,235,2057.3,18.28,4.52,1.05,59.13,198.54,2.27,0,1,0,30,3,1,0,0,0,135,60,135,0,NaN
109.72,32.32,600,1082.3,14.83,4.1,1.36,94.5,266,0.69,0,1,0,9,3,0,0,0,0,0,0,0,0,126.6
100.34,22.18,1100,1341,18.5,4.11,2.39,1009.5,258.5,5.51,1,0,0,9,3,0,0,0,1,350,166.7,166.7,3000,190.88
118.3,29.653,178,1477,16.4,5.29,1.72,31.5,193.28,0.87,1,0,0,6,3,0,0,0,1,150,100.5,124.5,250,NaN
119.38,28.58,186,1816.5,17.97,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,310.68,102,163.2,0,276.9
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,0,0,0,0,0,0,0,0,193.63
119.96,27.37,91,1560.6,18.98,4.85,0.3,48,180.9,0.37,1,0,0,10,4,1,0,0,0,112.5,150,150,0,173.33
119.17,28.98,65,1484,18.21,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,1,0,0,0,300.82,91.16,135.13,0,NaN
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,0,1,0,0,0,0,0,19499,350.07
119.36,28.56,372,870.55,17.84,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,310.68,102,163.2,0,188.01
100.45,21.958,1500,1563.2,21.89,5.2,1.4,NaN,114.63,1.2,1,0,0,3,3,0,0,0,0,0,0,0,0,140
106.18,29.13,560,1034.9,17.9,3.81,0.68,62,181.9,0.16,0,1,0,10,4,1,0,0,0,187.5,0,0,0,367.91
119.37,28.57,195,1484,17.84,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,155.34,51,81.6,0,125.79
118.23,25.44,680,1574.63,18.49,4.4,1.22,14.4,196,2.15,1,0,0,7,3,0,0,0,1,270,120,97.5,3000,731.33
116.78,23.81,245,1475.9,21.4,4.31,1.14,47.3,201.42,1.98,0,1,0,3,3,1,0,0,0,513,172,215,0,285.21
119.17,28.98,65,1602.3,18.26,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,1,0,0,0,306,93.86,135.43,0,NaN
119.37,28.57,195,1484,17.84,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,310.68,102,163.2,0,139.02
106.18,29.13,560,1034.9,17.9,3.81,0.68,62,181.9,0.16,0,1,0,10,4,1,0,0,0,112.5,0,0,0,361.15
119.95,27.37,91,1560.6,18.98,4.85,0.3,60.3,192,0.37,1,0,0,10,4,1,0,0,0,0,150,150,0,22.2
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,0,0,0,1,337.5,7.32,6.53,2134.8,NaN
113.37,23.16,34,1475.7,22.8,5.12,1.21,40.4,121.57,1.34,0,1,0,3,3,1,0,0,0,187.5,37.5,187.5,0,459.43
114.92,31.95,72,866.5,16.02,5.2,1.84,NaN,NaN,1.88,0,1,0,5,3,1,0,0,0,150.72,0,0,0,164
113.33,28.58,105,1330,17.5,4.16,0.77,55.5,NaN,0.98,1,0,0,3,3,0,0,1,0,450,0,0,0,150.98
120.067,30.22,95,1705.4,17.08,4.4,1.2,91.68,218.56,1.07,0,1,0,25,3,0,0,0,0,0,0,0,0,490
119.57,27.21,62,1699.5,17.16,4.85,0.3,48,180.9,0.37,0,1,0,3,4,1,0,0,0,225,150,300,0,350.18
119.38,28.58,186,1648,18.11,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,310.68,102,163.2,0,139
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,0,150,150,0,539.8
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,150,0,0,0,790.27
119.95,28.44,74,1824.8,18.3,4.16,0.5,75.2,221.28,1.15,0,1,0,8,3,0,0,0,1,522,315,315,7500,110.89
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,150,0,150,0,810.47
106.79,22.33,332,1509.8,17.27,3.87,1.31,35.9,215.95,1.03,0,1,0,5,3,1,0,0,0,101.25,0,40.5,0,240.72
119.17,28.98,65,1484,18.21,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,0,0,0,0,0,0,0,0,NaN
113.37,23.16,34,1475.7,22.8,5.12,1.21,40.4,121.57,1.34,0,1,0,3,3,1,0,0,0,90,75,30,0,376.99
113.36,23.16,25,1956.1,22.61,5.2,1.13,NaN,188.1,1.05,0,1,0,17,3,1,0,0,0,450,0,0,0,211.76
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,0,0,0,0,0,0,0,0,153.47
118,25.01,224,1378.3,19.92,4.2,1.52,35.6,184,1.02,0,1,0,10,3,1,0,0,0,300,105,105,0,416.27
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,1,0,0,0,320,80,0,0,176.64
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,0,0,0,1,450,58.95,52.04,0,218.67
119.95,28.44,74,1824.8,18.3,4.16,0.5,75.2,221.28,1.15,0,1,0,8,3,0,0,0,1,522,315,315,3750,109.12
119.17,28.98,65,1602.3,18.26,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,1,0,0,0,300.82,91.16,135.13,0,NaN
109.62,25.79,205,1884.6,17.42,6.8,1.13,NaN,NaN,1.32,0,1,0,5,4,0,1,0,0,0,0,0,2250,170.2
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,1,0,0,0,525,112.5,225,0,291.55
119.36,28.56,372,870.55,17.84,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,310.68,102,163.2,0,88.44
107.06,28.07,910,1560.6,14.8,6.8,1.54,58.5,NaN,2.03,1,0,0,17,3,0,0,0,0,0,0,0,0,204.82
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,300,0,150,0,422.67
119.37,28.57,195,1484,17.71,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,155.34,51,81.6,0,192.12
120.08,30.02,0,1503,16.5,4.33,1.7,NaN,NaN,1.62,0,1,0,3,3,1,0,0,0,119,39.3,99.6,0,315.91
100.45,21.958,1500,1563.2,21.89,5.2,1.4,NaN,114.63,1.2,1,0,0,3,3,0,0,0,1,835.2,216,0,6000,193.33
119.38,28.58,186,1648,18.11,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,310.68,102,163.2,0,98.67
116.78,23.81,245,1475.9,21.4,4.31,1.14,47.3,201.42,1.98,0,1,0,3,3,1,0,0,0,459,144,146,0,248.67
106.18,29.13,560,1034.9,17.9,3.81,0.68,62,181.9,0.16,0,1,0,10,4,1,0,0,0,46.9,0,0,0,403.48
119.36,28.56,372,1484,17.71,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,310.68,102,163.2,0,250.68
113.33,28.58,105,1330,17.5,6.3,1.13,NaN,NaN,1.32,1,0,0,3,3,1,0,0,0,450,0,0,0,267.2
119.17,35.3,125,858.1,13.6,5.41,1.12,48.7,258.3,1.25,0,1,0,3,3,1,0,0,0,300,90.02,210,0,228.34
119.38,26.68,543,1540,19.3,5.64,0.63,30,181.3,0.92,0,1,0,14,3,1,0,0,0,208,68,56,0,246.4
116,28.37,39,1630.9,19.2,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,375,81,136.5,0,442
119.37,28.57,195,1484,17.71,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,155.34,51,81.6,0,147.75
107.06,28.07,910,1560.6,14.8,6.8,1.54,58.5,NaN,2.03,1,0,0,17,3,1,0,0,0,690,270,240,0,205.38
120.52,29.74,484,1354.4,17.65,3.66,2.72,29.9,189.15,2.35,0,1,0,10,3,1,0,0,0,450,450,450,0,370.69
115.7,31.54,459,1402.1,16.31,3.88,1.33,30.55,245,1.15,0,1,0,7,3,1,0,0,0,165,90,120,0,164.37
113.37,23.16,34,1475.7,22.8,5.12,1.21,40.4,121.57,1.34,0,1,0,3,3,1,0,0,0,465,150,405,0,299.15
118.43,26.63,701,1660,19.3,4.53,0.57,15,237,1.37,0,1,0,7,3,0,1,0,0,0,0,0,600.3,164.38
103.5,29.67,450,1555.3,18.2,4.46,1.01,65,180,1.43,0,1,0,14,3,1,0,0,0,240,120,0,0,131.54
116,28.37,39,1630.9,19.2,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,300,64.8,109.2,0,366.44
119.96,27.37,91,1560.6,18.98,4.85,0.3,48,180.9,0.37,1,0,0,10,4,1,0,0,0,225,150,150,0,326.67
120.067,30.22,95,1487.73,17.42,4.4,1.2,91.68,218.56,1.07,0,1,0,25,3,0,0,0,0,0,0,0,0,296.33
119.6,27.17,110,1700,17.9,4.25,1.07,98,176.8,1.95,1,0,0,5,3,0,0,1,0,74.7,56.03,74.7,0,420.21
119.36,28.56,372,870.55,17.84,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,155.34,51,81.6,0,125.79
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,0,0,0,1,900,117.9,104.14,0,218.55
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,1,0,0,0,0,112.5,225,0,199.1
107.09,26.22,1100,1265.4,15.59,4.63,0.98,40.5,246,2.42,0,1,0,20,3,0,0,1,0,300.6,84,126,0,986.35
119.6,27.17,110,1700,17.9,4.25,1.07,98,176.8,1.95,1,0,0,5,3,0,0,0,0,0,0,0,0,300.15
118.03,25.4,451,1431,20.22,3.82,1.2,52,221,3.97,0,1,0,12,3,1,0,0,0,562.5,562.5,562.5,0,504.2
88.24,26.88,100,2000,13,4.86,0.85,41,146,1.78,1,0,0,20,3,1,0,0,0,4.39,2.65,0.46,0,90.39
119.6,27.17,110,1700,17.9,4.25,1.07,98,176.8,1.95,1,0,0,5,3,1,0,0,0,137.32,33.77,33.77,0,344.84
119.17,28.98,80,1602.6,17.1,4.23,1.09,124,217.5,3.07,0,1,0,14,3,1,0,0,0,662.25,504.75,331.5,0,268
119.17,35.3,125,859.1,14.6,5.41,1.12,48.7,258.3,1.25,0,1,0,3,3,0,1,0,0,0,0,0,3000,216.95
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,1,0,0,0,525,112.5,225,0,287.74
107.36,28.4,1205,1174.7,13.78,4.99,3.16,17,202,3.6,0,1,0,5,3,1,0,0,0,34.5,18,36,0,98.72
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,0,0,0,1,450,58.94,52.07,0,163.72
119.96,27.37,91,1560.6,18.98,4.85,0.3,48,180.9,0.37,1,0,0,10,4,1,0,0,0,0,150,150,0,74
116,28.37,39,1630.9,19.2,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,450,97.2,163.8,0,489.33
119.75,31.37,11,1313,16.2,4.7,0.8,67.8,185,1.43,0,1,0,9,3,1,0,0,0,307.74,43.25,179.4,0,30.36
120.08,30.02,0,1503,16.5,4.33,1.7,NaN,NaN,1.62,0,1,0,3,3,1,0,0,0,285,39.3,99.6,0,338.64
119.42,35.62,77.8,765.8,13.1,5.11,1.26,41.4,239.4,1.01,0,1,0,5,3,0,0,1,0,150,45,105,0,311.8
109.72,32.24,600,1160.1,14.35,4.8,0.88,NaN,186,0.84,0,1,0,10,5,1,0,0,0,807.75,201.94,201.94,0,154.72
119.17,35.3,125,857.1,12.6,5.38,1.01,49.36,174.76,1.05,0,1,0,3,3,0,0,1,0,300,90,210,0,232.81
118.03,25.4,451,1431,20.22,3.82,1.2,52,221,3.97,0,1,0,12,3,0,0,0,0,0,0,0,0,436.2
118.55,25.62,600,1800,18,3.38,3.69,NaN,NaN,5.92,0,1,0,10,3,0,1,0,0,0,0,0,9000,260.66
116,28.37,39,1630.9,19.2,3.88,1.33,63.52,203.66,2.27,0,1,0,7,3,1,0,0,0,225,48.6,81.9,0,341.11
109.72,32.24,600,1160.1,14.35,4.8,0.88,NaN,186,0.84,0,1,0,10,5,1,0,0,0,807.75,1056.29,932.02,0,166.84
120.08,30.02,0,1503,16.5,4.33,1.7,NaN,NaN,1.62,0,1,0,3,3,1,0,0,0,569,39.3,99.6,0,325
119.75,31.37,11,1313,16.2,4.7,0.8,67.8,185,1.43,0,1,0,9,3,0,0,0,0,0,0,0,0,26.08
119.36,28.56,372,1484,17.71,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,155.34,51,81.6,0,147.75
113.37,23.15,33,1817.2,22.19,4.19,1.19,40.35,186,1.59,0,1,0,10,4,1,0,0,0,300,0,0,0,99.59
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,0,0,0,1,900,117.9,104.08,0,257.57
119.36,28.56,372,1484,17.71,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,155.34,51,81.6,0,237.43
106.18,29.13,560,1034.9,17.9,3.81,0.68,62,181.9,0.16,0,1,0,10,4,0,0,0,0,0,0,0,0,343.96
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,0,1,0,0,0,0,0,19499,255.21
106.79,22.34,135,1265.7,22.83,3.87,1.31,35.9,215.95,1.03,0,1,0,7,3,1,0,0,0,168.75,24.75,67.5,0,NaN
120.067,30.22,95,1705.4,17.08,4.4,1.2,91.68,218.56,1.07,0,1,0,25,3,0,1,0,0,0,0,0,4800,476.93
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,1,0,0,0,75,9.82,8.68,0,178.05
118.03,25.4,451,1431,20.22,3.82,1.2,52,221,3.97,0,1,0,12,3,0,0,0,1,281.25,281.25,281.25,3750,549.8
119.42,35.62,77.8,765.8,13.1,5.11,1.26,41.4,239.4,1.01,0,1,0,5,3,0,0,0,1,175.02,52.53,122.5,2000,276.27
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,0,1,0,0,0,0,0,8539.2,NaN
119.52,31.17,260,1264.8,16.84,6.3,1.33,NaN,NaN,1.51,0,1,0,10,3,1,0,0,0,773.25,175.5,78.75,0,142.74
118,25.01,224,1378.3,19.92,4.2,1.52,35.6,184,1.02,0,1,0,10,3,1,0,0,0,300,105,73.5,0,391.53
119.17,35.3,125,862.1,17.6,5.41,1.12,48.7,258.3,1.25,0,1,0,3,3,0,0,0,1,150,45,105,1500,257.26
118.23,25.44,680,1574.63,18.49,4.4,1.22,14.4,196,2.15,1,0,0,7,3,0,0,0,1,270,120,0,3000,710.33
119.37,28.57,195,1484,17.84,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,155.34,51,81.6,0,79.57
113.36,23.16,25,1956.1,22.61,5.2,1.13,NaN,188.1,1.05,0,1,0,17,3,0,0,0,0,0,0,0,0,79.41
114.92,31.95,72,866.5,16.02,5.2,1.84,NaN,NaN,1.88,0,1,0,5,3,0,0,0,0,0,0,0,0,158
108.16,28.02,970,1336.5,16.24,4.79,0.98,55.5,216.4,1.49,1,0,0,8,3,0,0,0,0,0,0,0,0,494.39
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,150,75,75,0,695.67
119.38,28.58,186,1816.5,17.97,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,155.34,51,81.6,0,147.75
100.34,22.18,1100,1341,18.5,4.11,2.39,1009.5,258.5,5.51,1,0,0,9,3,1,0,0,0,500,20,83.35,0,192.7
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,1,0,0,0,450,58.92,52.09,0,185.03
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,450,150,75,0,749.93
108.16,28.02,970,1336.5,16.24,4.79,0.98,55.5,216.4,1.49,1,0,0,8,3,1,0,0,0,608.4,150,120,0,580.34
120.067,30.22,95,1487.73,17.42,4.4,1.2,91.68,218.56,1.07,0,1,0,25,3,0,1,0,0,0,0,0,4800,276.13
118.3,29.653,178,1477,16.4,5.29,1.72,31.5,193.28,0.87,1,0,0,6,3,0,0,0,0,0,0,0,0,NaN
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,450,0,0,0,631.27
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,0,0,0,1,75,9.76,8.69,0,202.86
118.43,26.63,701,1660,19.3,4.53,0.57,15,237,1.37,0,1,0,7,3,1,0,0,0,45.02,45.02,45.02,0,143.35
120.067,30.22,95,1705.4,17.08,4.4,1.2,91.68,218.56,1.07,0,1,0,25,3,1,0,0,0,423,423,423,0,499
109.72,32.24,600,1160.1,14.35,4.8,0.88,NaN,186,0.84,0,1,0,10,5,1,0,0,0,807.75,201.94,0,0,154.4
118.23,25.44,680,1574.63,18.49,4.4,1.22,14.4,196,2.15,1,0,0,7,3,0,0,0,1,351,120,75,3000,804.33
103.86,30.71,530,1000,16,6.3,1.4,NaN,NaN,1.43,0,1,0,6,3,0,0,0,0,0,0,0,0,142.3
119.83,35.82,1139,697.3,14.28,6.3,3.05,91.68,210,1.72,0,1,0,10,3,0,0,0,1,8538.75,2126.25,3138.75,10,215.7
119.36,28.56,372,870.55,17.84,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,155.34,51,81.6,0,90.45
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,0,1,0,0,0,0,0,17078.4,NaN
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,0,0,0,1,75,9.75,8.69,0,180.81
120.52,29.74,484,1466.2,17.83,3.66,2.72,29.9,189.15,2.35,0,1,0,10,3,1,0,0,0,450,450,450,0,524.42
113.08,28.25,450,1389,16.5,4.8,0.88,NaN,186,0.84,0,1,0,10,3,0,0,0,1,75,9.75,8.7,0,152.98
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,300,150,150,0,784.53
119.41,35.45,35,924.9,17,5,1.2,105,218.7,2.02,0,1,0,10,3,0,0,0,0,0,0,0,0,81.41
117.93,27.66,524,1971.9,18.72,4.62,1.05,50.13,198.54,2.27,0,1,0,9,3,1,0,0,0,157.5,60,82.5,0,NaN
119.17,28.98,65,1602.3,18.26,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,1,0,0,0,428.94,82.63,126.14,0,NaN
113.37,23.16,34,1475.7,22.8,5.12,1.21,40.4,121.57,1.34,0,1,0,3,3,1,0,0,0,157.5,26.25,26.25,0,421.21
