longitude,latitude,Altitude(m),Precipitation(mm),Average Temperature (°„C),pH,TN(g/kg-1),AP (mg/kg-1),AK(mg/kg-1),SOC(%),Large-leaved variety,Medium-leaved variety,small-leaved variety,Years of planting,Replicates,mineral fertilizer,organic fertilizer,controlled-released fertilizer,mix fertilizer,N quantity(kg/y/hm2),P2O5 quantity(kg/y/hm2),K2O quantity(kg/y/hm2),organic fertilizer quantity(kg`y/hm2),Fresh Shoot Yield(kg/667m2)_MEAN
119.36,28.56,372,1484,17.71,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,310.68,102,163.2,0,197.61
100.98,22.8,1302,1868.6,19.01,5.9,1.02,91.7,261.12,0.37,1,0,0,9,3,1,0,0,0,360,150,120,0,522.46
113.33,28.46,55,1596.77,18.15,4.72,1.05,100.5,170.5,1.24,0,1,0,10,3,1,0,0,0,180.18,38.61,38.61,0,118.89
119.17,28.98,65,1839.8,18.24,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,0,0,0,0,0,0,0,0,NaN
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,0,0,0,0,0,0,0,0,258.23
113.37,23.15,33,1817.2,22.19,4.19,1.19,40.35,186,1.59,0,1,0,10,4,1,0,0,0,450,0,0,0,99.27
119.38,28.58,186,1648,18.11,4.31,1.26,17.4,144,1.68,0,1,0,9,3,1,0,0,0,310.68,102,163.2,0,88.44
119.68,27.63,800,1721,17,4,1,43.1,176.5,2.03,0,1,0,9,3,0,0,0,0,0,0,0,0,260.91
114.92,31.95,72,866.5,16.02,5.2,1.84,NaN,NaN,1.88,0,1,0,5,3,0,0,0,1,150.79,0,0,0,176
100.45,21.958,1500,1563.2,21.89,5.2,1.4,NaN,114.63,1.2,1,0,0,3,3,0,0,0,1,417.6,108,0,4500,213.33
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,1,0,0,0,320,80,0,0,195.75
109.62,25.79,205,1884.6,17.42,6.8,1.13,NaN,NaN,1.32,0,1,0,5,4,0,0,0,1,135,45,60,2500,184.1
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,0,0,150,0,369.13
118,25.01,230,1800,17,3.91,1.39,45,168.4,1.05,0,1,0,5,3,0,0,0,1,406.88,151.88,264.38,262.5,267.33
